startTime,count
2023-06-18 22:27:07,0
2023-06-18 22:27:08,0
2023-06-18 22:27:09,0
2023-06-18 22:27:10,0
2023-06-18 22:27:11,0
2023-06-18 22:27:12,0
2023-06-18 22:27:13,0
2023-06-18 22:27:14,0
2023-06-18 22:27:15,0
2023-06-18 22:27:16,0
2023-06-18 22:27:17,0
2023-06-18 22:27:18,0
2023-06-18 22:27:19,0
2023-06-18 22:27:20,0
2023-06-18 22:27:21,0
2023-06-18 22:27:22,0
2023-06-18 22:27:23,0
2023-06-18 22:27:24,0
2023-06-18 22:27:25,0
2023-06-18 22:27:26,0
2023-06-18 22:27:27,0
2023-06-18 22:27:28,0
2023-06-18 22:27:29,0
2023-06-18 22:27:30,0
2023-06-18 22:27:31,0
2023-06-18 22:27:32,0
2023-06-18 22:27:33,0
2023-06-18 22:27:34,0
2023-06-18 22:27:35,0
2023-06-18 22:27:36,0
2023-06-18 22:27:37,0
2023-06-18 22:27:38,0
2023-06-18 22:27:39,0
2023-06-18 22:27:40,0
2023-06-18 22:27:41,0
2023-06-18 22:27:42,0
2023-06-18 22:27:43,0
2023-06-18 22:27:44,0
2023-06-18 22:27:45,0
2023-06-18 22:27:46,0
2023-06-18 22:27:47,0
2023-06-18 22:27:48,0
2023-06-18 22:27:49,0
2023-06-18 22:27:50,0
2023-06-18 22:27:51,0
2023-06-18 22:27:52,0
2023-06-18 22:27:53,0
2023-06-18 22:27:54,0
2023-06-18 22:27:55,0
2023-06-18 22:27:56,0
2023-06-18 22:27:57,0
2023-06-18 22:27:58,0
2023-06-18 22:27:59,0
2023-06-18 22:28:00,0
2023-06-18 22:28:01,0
2023-06-18 22:28:02,0
2023-06-18 22:28:03,0
2023-06-18 22:28:04,0
2023-06-18 22:28:05,0
2023-06-18 22:28:06,0
2023-06-18 22:28:07,0
2023-06-18 22:28:08,0
2023-06-18 22:28:09,0
2023-06-18 22:28:10,0
2023-06-18 22:28:11,0
2023-06-18 22:28:12,0
2023-06-18 22:28:13,0
2023-06-18 22:28:14,0
2023-06-18 22:28:15,0
2023-06-18 22:28:16,0
2023-06-18 22:28:17,0
2023-06-18 22:28:18,0
2023-06-18 22:28:19,0
2023-06-18 22:28:20,0
2023-06-18 22:28:21,0
2023-06-18 22:28:22,0
2023-06-18 22:28:23,0
2023-06-18 22:28:24,0
2023-06-18 22:28:25,0
2023-06-18 22:28:26,0
2023-06-18 22:28:27,0
2023-06-18 22:28:28,0
2023-06-18 22:28:29,0
2023-06-18 22:28:30,0
2023-06-18 22:28:31,0
2023-06-18 22:28:32,0
2023-06-18 22:28:33,1
2023-06-18 22:28:34,0
2023-06-18 22:28:35,0
2023-06-18 22:28:36,0
2023-06-18 22:28:37,0
2023-06-18 22:28:38,0
2023-06-18 22:28:39,0
2023-06-18 22:28:40,0
2023-06-18 22:28:41,0
2023-06-18 22:28:42,0
2023-06-18 22:28:43,0
2023-06-18 22:28:44,0
2023-06-18 22:28:45,0
2023-06-18 22:28:46,0
2023-06-18 22:28:47,0
2023-06-18 22:28:48,0
2023-06-18 22:28:49,0
2023-06-18 22:28:50,0
2023-06-18 22:28:51,1
